Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (P)	Cumulative Profit/Loss (P)	FlatToFlat Profit/Loss (P)	FlatToFlat Max Open Profit (P)	FlatToFlat Max Open Loss (P)	Max Open Profit (P)	Max Open Loss (P)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
[Sim]ESU3.CME (Sim1)	Short	2023-07-13  09:51:26.249 BP	2023-07-13  09:54:18.021 EP	4530.00	4532.00	2	2	2	-4.00	-4.00	-4.00 F	1.00	-4.00	1.00	-4.00	100.0%	0.0%	-80.0%	0.00	4532.00	4529.50	SimpleOrderCommonStop.twconfig	2	0	00:02:51	Sim1
[Sim]ESU3.CME	Short	2023-07-13  10:04:33.421 BP	2023-07-13  10:10:41.378 EP	4529.00	4531.00	2	2	2	-4.00	-8.00	-4.00 F	4.00	-4.00	4.00	-4.00	100.0%	0.0%	-50.0%	0.00	4531.00	4527.00	SimpleOrderCommonStop.twconfig	2	0	00:06:07	Sim1
[Sim]ESU3.CME	Short	2023-07-13  10:13:21.810 BP	2023-07-13  11:01:08.973	4529.00	4531.75	2	3	2	-5.50	-13.50	-5.50	7.50	-6.00	7.50	-6.00	100.0%	3.7%	-40.7%	0.00	4532.00	4525.25	SimpleOrderCommonStop.twconfig	2	1	00:47:47	Sim1
[Sim]ESU3.CME	Short	2023-07-13  10:24:21.652	2023-07-13  11:01:08.973 EP	4527.25	4531.75	1	3	3	-4.50	-18.00	-10.00 F	9.50	-10.75	2.00	-4.75	40.0%	30.9%	-22.2%	0.00	4532.00	4525.25	SimpleOrderCommonStop.twconfig	3	0	00:36:47	Sim1
[Sim]ESU3.CME	Short	2023-07-13  11:01:21.486 BP	2023-07-13  11:37:22.378	4530.75	4528.75	2	4	2	4.00	-14.00	4.00	10.00	-3.00	10.00	-3.00	100.0%	53.8%	30.8%	0.00	4532.25	4525.75	SimpleOrderCommonStop.twconfig	2	2	00:36:00	Sim1
[Sim]ESU3.CME	Short	2023-07-13  11:02:53.492	2023-07-13  11:37:22.378 EP	4530.50	4528.75	2	4	4	3.50	-10.50	7.50 F	19.50	-6.50	9.50	-3.50	25.0%	38.5%	13.5%	0.00	4532.25	4525.75	SimpleOrderCommonStop.twconfig	4	0	00:34:28	Sim1
[Sim]ESU3.CME	Short	2023-07-13  14:02:47.584 BP	2023-07-13  14:07:48.707	4534.25	4536.75	5	8	5	-12.50	-23.00	-12.50	1.25	-12.50	1.25	-12.50	100.0%	0.0%	-90.9%	0.00	4536.75	4534.00	2TargetsWithCommonStop.twconfig	5	3	00:05:01	Sim1
[Sim]ESU3.CME	Short	2023-07-13  14:02:47.585	2023-07-13  14:07:48.707 EP	4534.25	4536.75	3	8	8	-7.50	-30.50	-20.00 F	2.00	-20.00	0.75	-7.50	100.0%	56.8%	-34.1%	0.00	4536.75	4534.00	2TargetsWithCommonStop.twconfig	8	0	00:05:01	Sim1
[Sim]ESU3.CME	Long	2023-07-13  14:08:07.698 BP	2023-07-13  14:15:58.025	4536.75	4539.25	5	16	5	12.50	-18.00	12.50	13.75	-1.25	13.75	-1.25	100.0%	91.7%	83.3%	0.00	4539.50	4536.50	2TargetsWithCommonStop.twconfig	5	11	00:07:50	Sim1
[Sim]ESU3.CME	Long	2023-07-13  14:08:07.699	2023-07-13  14:15:58.025	4536.75	4539.25	3	16	8	7.50	-10.50	20.00	22.00	-2.00	8.25	-0.75	100.0%	39.6%	31.2%	0.00	4539.50	4536.50	2TargetsWithCommonStop.twconfig	8	8	00:07:50	Sim1
[Sim]ESU3.CME	Long	2023-07-13  14:08:29.123	2023-07-13  14:15:58.025	4537.50	4539.25	2	16	10	3.50	-7.00	23.50	26.00	-3.00	4.00	-1.00	0.0%	22.4%	12.1%	0.00	4539.50	4537.00	2TargetsWithCommonStop.twconfig	13	6	00:07:28	Sim1
[Sim]ESU3.CME	Long	2023-07-13  14:08:29.123	2023-07-13  14:15:59.986	4537.50	4539.25	3	16	13	5.25	-1.75	28.75	32.00	-4.50	6.00	-1.50	0.0%	26.7%	14.4%	0.00	4539.50	4537.00	2TargetsWithCommonStop.twconfig	13	3	00:07:30	Sim1
[Sim]ESU3.CME	Long	2023-07-13  14:08:29.123	2023-07-13  14:15:59.986 EP	4537.50	4539.25	3	16	16	5.25	3.50	34.00 F	38.00	-6.00	6.00	-1.50	0.0%	25.6%	11.9%	0.00	4539.50	4537.00	2TargetsWithCommonStop.twconfig	16	0	00:07:30	Sim1
[Sim]ESU3.CME	Short	2023-08-16  10:59:40.353 BP	2023-08-16  11:08:48.144	4462.75	4462.50	2	5	2	0.39	0.39	0.39	4.00	-5.00	4.00	-5.00	100.0%	59.9%	4.4%	5.32	4465.25	4460.75	2Targets5c_3out_2run.twconfig	2	3	00:09:07	Sim1
[Sim]ESU3.CME	Short	2023-08-16  10:59:40.353	2023-08-16  11:08:48.144 EP	4462.75	4462.50	3	5	5	0.59	0.98	0.98 F	10.00	-12.50	6.00	-7.50	100.0%	58.2%	2.6%	7.98	4465.25	4460.75	2Targets5c_3out_2run.twconfig	5	0	00:09:07	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:25:33.325 BP	2023-08-16  11:26:33.804	4460.25	4458.00	2	5	2	4.39	5.38	4.39	4.50	-0.00	4.50	-0.00	100.0%	97.6%	97.6%	5.32	4460.25	4458.00	2Targets5c_3out_2run.twconfig	2	3	00:01:00	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:25:33.325	2023-08-16  11:26:33.804	4460.25	4458.00	1	5	3	2.20	7.57	6.59	6.75	-0.00	2.25	-0.00	100.0%	32.5%	32.5%	2.66	4460.25	4458.00	2Targets5c_3out_2run.twconfig	5	2	00:01:00	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:25:33.325	2023-08-16  11:46:19.802 EP	4460.25	4455.50	2	5	5	9.39	16.97	15.98 F	21.25	-0.00	14.50	-0.00	100.0%	44.2%	44.2%	5.32	4460.25	4453.00	2Targets5c_3out_2run.twconfig	5	0	00:20:46	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:48:07.338 BP	2023-08-16  11:49:49.512	4451.75	4452.25	2	5	2	-1.11	15.86	-1.11	3.00	-1.00	3.00	-1.00	100.0%	-2.7%	-27.7%	5.32	4452.25	4450.25	2Targets5c_3out_2run.twconfig	2	3	00:01:42	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:48:07.338	2023-08-16  11:49:49.512 EP	4451.75	4452.25	3	5	5	-1.66	14.20	-2.77 F	7.50	-2.50	4.50	-1.50	100.0%	8.4%	-16.6%	7.98	4452.25	4450.25	2Targets5c_3out_2run.twconfig	5	0	00:01:42	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:54:47.668 BP	2023-08-16  11:57:02.699	4451.50	4449.25	2	5	2	4.39	18.60	4.39	4.50	-1.50	4.50	-1.50	100.0%	98.2%	73.2%	5.32	4452.25	4449.25	2Targets5c_3out_2run.twconfig	2	3	00:02:15	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:54:47.668	2023-08-16  11:57:02.699	4451.50	4449.25	1	5	3	2.20	20.79	6.59	6.75	-2.25	2.25	-0.75	100.0%	49.4%	24.4%	2.66	4452.25	4449.25	2Targets5c_3out_2run.twconfig	5	2	00:02:15	Sim1
[Sim]ESU3.CME	Short	2023-08-16  11:54:47.668	2023-08-16  12:05:28.085 EP	4451.50	4449.75	2	5	5	3.39	24.19	9.98 F	17.25	-3.75	10.50	-1.50	100.0%	34.0%	16.2%	5.32	4452.25	4446.25	2Targets5c_3out_2run.twconfig	5	0	00:10:40	Sim1
